,VAE_ADT_100_seed_0,BAVAE_ADT_site_100_seed_0,BAVAE_ADT_sample_100_seed_0,CVAE_ADT_sample_100_seed_0,BAVAE_ADT_sample_100_concat_seed_0,totalVI_seed_0,Winner_CITE_online_seed_0,BAVAE_ADT_sample_100_rna_only_seed_0_20dims,BAVAE_ADT_sample_100_adt_only_seed_0_20dims,BAVAE_ADT_sample_100_seed_994,CVAE_ADT_sample_100_seed_994,BAVAE_ADT_sample_100_concat_seed_994,totalVI_seed_994,Winner_CITE_online_seed_994,BAVAE_ADT_sample_100_rna_only_seed_994_20dims,BAVAE_ADT_sample_100_adt_only_seed_994_20dims,BAVAE_ADT_sample_100_seed_236,CVAE_ADT_sample_100_seed_236,BAVAE_ADT_sample_100_concat_seed_236,totalVI_seed_236,Winner_CITE_online_seed_236,BAVAE_ADT_sample_100_rna_only_seed_236_20dims,BAVAE_ADT_sample_100_adt_only_seed_236_20dims,BAVAE_ADT_sample_100_seed_71,CVAE_ADT_sample_100_seed_71,BAVAE_ADT_sample_100_concat_seed_71,totalVI_seed_71,Winner_CITE_online_seed_71,BAVAE_ADT_sample_100_rna_only_seed_71_20dims,BAVAE_ADT_sample_100_adt_only_seed_71_20dims,BAVAE_ADT_sample_100_seed_415,CVAE_ADT_sample_100_seed_415,BAVAE_ADT_sample_100_concat_seed_415,totalVI_seed_415,Winner_CITE_online_seed_415,BAVAE_ADT_sample_100_rna_only_seed_415_20dims,BAVAE_ADT_sample_100_adt_only_seed_415_20dims
dims,20.0,20.0,20.0,20.0,20.0,20.0,100.0,20.0,20.0,20.0,20.0,20.0,20.0,100.0,20.0,20.0,20.0,20.0,20.0,20.0,100.0,20.0,20.0,20.0,20.0,20.0,20.0,100.0,20.0,20.0,20.0,20.0,20.0,20.0,100.0,20.0,20.0
iLISI_batch,0.047196141300336135,0.15275983114584663,0.2868187993316326,0.29176903880262606,0.29727804405081865,0.3191181957786613,0.014518710888286995,0.2791230171178578,0.33431499056200303,0.2880241293153338,0.2849750090693118,0.2939910244898138,0.3193018297137895,0.014457717803733424,0.2768439689000583,0.33153436528583347,0.2871281720274657,0.28944697150203846,0.29373449363897836,0.32006934136276394,0.01611878963870874,0.27617832718821944,0.32491814783908346,0.2780634882569148,0.2903340364023252,0.2908426851758748,0.3218862214484954,0.014905297046039934,0.2848156808056066,0.33199172800060806,0.2832422336130728,0.29155735491549445,0.28724052111327664,0.31858752807737467,0.01439242951116183,0.28698912032331025,0.323992398579356
cLISI_full,0.9961831699197579,0.9960227457131805,0.9966723770624892,0.9960276264572223,0.9977202745244373,0.9947311996630376,0.9977712985385595,0.9946366760894884,0.9917725102677634,0.9966025365719102,0.9965158646707664,0.997408544599427,0.9949528632740136,0.9980561108208929,0.9941329475862403,0.9917817025738291,0.996051777695426,0.9962770110025558,0.9974261427842727,0.9945285102342912,0.997832897268704,0.9940803572900484,0.991590716330796,0.9960907797063179,0.9962494605178606,0.997611178894187,0.9945606372135287,0.9979790730344535,0.9945369496885388,0.9918527471945918,0.9959640355464244,0.9963675537597144,0.9976737240931679,0.9942500682558663,0.9979049752901212,0.9947541387668442,0.9915003720286891
asw_batch,0.8191893201625232,0.8647768624953953,0.8633983440596497,0.8628913246389541,0.8566218803360665,0.9009271016564033,0.8639428618874186,0.8580899009063792,0.8347591183337904,0.8591624073083508,0.8622646166232025,0.8644381243423668,0.9007577705069961,0.8643794695250735,0.8607832791857151,0.835544868003603,0.8593046607382969,0.8557535449033935,0.8586702877095831,0.900072860433333,0.8642777799766106,0.8562569781415507,0.8289400847723011,0.8572465131730171,0.8597616084621565,0.8647510396714437,0.9014089396785329,0.8640548761781837,0.8621109769501039,0.8326139953130233,0.8519726365144231,0.8631188025882979,0.8690280200836119,0.9001172847367775,0.8639353560056628,0.8651091531792451,0.8239617671251677
asw_label,0.5598329789936543,0.5747610628604889,0.597229577600956,0.5743155255913734,0.589695394039154,0.5493865646421909,0.5503360666334629,0.5577967315912247,0.558298859745264,0.5966743230819702,0.5794539749622345,0.5891837701201439,0.5519455969333649,0.5504570752382278,0.5698218569159508,0.568882629275322,0.596679113805294,0.5870488733053207,0.5841825008392334,0.5535077676177025,0.5504251271486282,0.564106211066246,0.580590546131134,0.573313519358635,0.5892555266618729,0.5837723463773727,0.550065815448761,0.5504034534096718,0.5831701010465622,0.5579140707850456,0.5714170336723328,0.5830635726451874,0.5911700055003166,0.5487176775932312,0.5503245629370213,0.5815319791436195,0.5813932120800018
cc_cons,0.7776090460148158,0.8306604743010485,0.8145410908335337,0.7428940662767834,0.7638410089683503,0.7480159962017888,0.8971920581488019,0.718113595062415,0.6541713049814769,0.720889755612444,0.7978491809127463,0.7199897722829212,0.7765805391242425,0.8976424714619423,0.7319025604157922,0.6264619430211383,0.6681321312143588,0.7501079400654928,0.7791298573911414,0.7750220852622798,0.8972862742906411,0.8213940559097002,0.645609155251629,0.7169615102601368,0.6092757533135447,0.7909531174203406,0.7553555784866601,0.8971494060247989,0.8178857871971791,0.6434387559823632,0.7963857518369325,0.7514795751543151,0.7934333620389288,0.7465714303402443,0.8973301310334327,0.7637114886038319,0.6090291422269934
graph_conn,0.9296150353232782,0.9328449978304039,0.9003746377691146,0.8932073273234106,0.9354836607096385,0.9090719541728028,0.9568420552592627,0.891842655411324,0.8814429864963265,0.9119723563918143,0.9040621729564798,0.9161815762367906,0.9055578736964894,0.9643277054319745,0.8848341852043119,0.8918675211205312,0.8945299419739658,0.896330850989837,0.9180007804890118,0.9160969360400176,0.9689306790178617,0.8835208547801893,0.8594687626067115,0.8926582481513018,0.9000755898872792,0.9329466319336768,0.9086032986510065,0.9595127156942105,0.8829292071645735,0.8832297928442667,0.9012220725091907,0.9033276938759907,0.9319670109052826,0.9098349774358618,0.9669714361103652,0.8900941052621564,0.8820504627016913
nmi,0.6930141350591817,0.792612488444234,0.7898545894909464,0.7822865504636545,0.7979599202689349,0.7917035056342473,0.669358576552315,0.7643998619878388,0.7619002512116059,0.8007836056535995,0.7973826964122022,0.8041304973059499,0.7942058512570925,0.6664961193790611,0.7646506601703956,0.7578972185468538,0.7902596326264648,0.7865827753346188,0.8005503084068503,0.7973010141137559,0.6715735929117479,0.766802082406729,0.7601183214486211,0.7953385513731092,0.7844321520560494,0.797206782614067,0.792863570476116,0.6665637230193657,0.7784116735631957,0.7605657642625852,0.7821434959426189,0.793534277075342,0.7998096470666135,0.7873581567862917,0.6680234391384089,0.7791513898989422,0.7457321796949459
ti_cons_batch_gex,0.5732289880203169,0.9481601696812276,0.5689083839215946,0.9524345688686335,0.9506141242367787,0.9468703945907215,0.9567275573263454,0.9502201767613319,0.6610101479146083,0.9532616613312757,0.37649097660545316,0.9497138461514762,0.9500308744150276,0.9545964404875331,0.94956761237736,0.6907519994202385,0.6007837046261076,0.9518894083602591,0.9512793830494184,0.951035084978433,0.955713901332824,0.5438834249204597,0.699300424297163,0.9509069938848538,0.5664200148999436,0.9492048154746691,0.9487775990203708,0.9560751597891093,0.5631981122519067,0.6681461209364973,0.9536224480622255,0.5408813215191591,0.9497160320899412,0.9516102437421763,0.9553395292746847,0.6443002626759654,0.6711027791270174
ti_cons_batch_adt_atac,0.7037914006530228,0.7792756972509125,0.7033103388967461,0.7786057676763827,0.7820359824244518,0.7770255596419906,0.7805001941552194,0.777992431996831,0.7689600944911237,0.7789712624458514,0.5868902673850755,0.7750532933613263,0.7755162175619064,0.7794329650744691,0.7796879002094268,0.7920941143779201,0.7041053102253677,0.7782983945979571,0.7823348591186123,0.7754441371162817,0.7798369046907396,0.6940949485928214,0.7942202664894091,0.7791616781283897,0.6951574963603062,0.7832931161605867,0.7772907986163113,0.7802168472282935,0.7015901673109983,0.7732393085496982,0.7799593178002588,0.6810309524113999,0.7776913330688475,0.7774272877399986,0.7792843824038382,0.7292717945752887,0.7832959289807571
