,BAVAE_sample_10_atac_only_seed_8831,BAVAE_sample_10_seed_8831,BAVAE_sample_10_concat_seed_8831,BAVAE_sample_10_atac_only_seed_234,BAVAE_sample_10_seed_234,BAVAE_sample_10_concat_seed_234,BAVAE_sample_10_atac_only_seed_11,BAVAE_sample_10_seed_11,BAVAE_sample_10_concat_seed_11,BAVAE_sample_10_atac_only_seed_9631,BAVAE_sample_10_seed_9631,BAVAE_sample_10_concat_seed_9631,BAVAE_sample_10_atac_only_seed_94,BAVAE_sample_10_seed_94,BAVAE_sample_10_concat_seed_94
dims,10.0,20.0,20.0,10.0,20.0,20.0,10.0,20.0,20.0,10.0,20.0,20.0,10.0,20.0,20.0
iLISI_batch,0.38078298673920546,0.3038404130068994,0.31807356424657524,0.3805690488020326,0.2997288773842017,0.3148284219462954,0.3794479003511369,0.3023525177074031,0.31778851213038384,0.37936990891084627,0.3114005002796723,0.3164093706355728,0.3827872416931955,0.30637546048290526,0.32016656236762603
cLISI_full,0.9610882042768948,0.993890281367983,0.9891339639881177,0.9610588061092216,0.9937959200425054,0.9894071182369046,0.9616386263863204,0.9940541196411103,0.989608796328113,0.9615445440384534,0.9938447212667718,0.9892132005389074,0.9605435377760905,0.9941701579854342,0.9883940134931821
asw_batch,0.878774223754202,0.8626963006106686,0.9042536529882198,0.8717951571224862,0.8627563603620036,0.9012270651207178,0.8792185957232351,0.8648600349652183,0.9038576505460724,0.8766044618689898,0.8733424562368352,0.9033126811511379,0.8854014408819194,0.8691200384288915,0.9096081112894505
asw_label,0.503215056611225,0.6019923835992813,0.5534501746296883,0.49674699921160936,0.5894027724862099,0.5519564673304558,0.5019179988885298,0.6004016399383545,0.5539281629025936,0.5019246089505032,0.5913186967372894,0.5529740750789642,0.5008159063872881,0.5942342057824135,0.5513541400432587
cc_cons,0.7475978420518495,0.823161648507199,0.7857109390403418,0.8180550256207918,0.7909364804641158,0.8296248670514572,0.8101951522627563,0.8750119349328027,0.8237253545143812,0.7836483838755555,0.8512054558179412,0.8068270687300058,0.7898056991779447,0.8471401731694563,0.8124531741422317
graph_conn,0.8228182036056162,0.9619267575317916,0.9648325785098301,0.8298937559103131,0.9629898150884686,0.9675117511346737,0.8307710875735446,0.9620897335843068,0.9691140554064163,0.8336177965585009,0.9634588109699099,0.9661693004850143,0.8276543895898542,0.9617150801647838,0.9662329459881256
nmi,0.6463686374502511,0.7739560465108103,0.7605696406704116,0.6450345596213497,0.7787252624750334,0.7657699239109678,0.6383976316139,0.7920137123963867,0.7718577348429394,0.6386281844019793,0.7660013596780973,0.7586766553019034,0.6516901115620395,0.7851159284175224,0.766734844346692
ti_cons_batch_gex,0.5849669362089254,0.9721334121592251,0.9615043652141606,0.899147214907,0.9658371575632032,0.9620251125095055,0.8920176478746873,0.9706193163541279,0.9613368940025506,0.8957005488453094,0.9672331900873719,0.9623802201615304,0.8982128642548525,0.9728857354481512,0.9608088057314941
ti_cons_batch_adt_atac,0.5957959584524353,0.8621427876087704,0.8638499156700441,0.8557601407540899,0.8599188927361909,0.8667576666781476,0.8529736366582731,0.858458054186563,0.8649235254255189,0.8525821628474439,0.8596333541130636,0.8710722314838764,0.859538512820442,0.8604222509823071,0.8669625350461782
ti_cons_batch_mean,0.5903814473306803,0.9171380998839977,0.9126771404421024,0.877453677830545,0.9128780251496971,0.9143913895938265,0.8724956422664802,0.9145386852703454,0.9131302097140348,0.8741413558463766,0.9134332721002177,0.9167262258227034,0.8788756885376472,0.9166539932152291,0.9138856703888361
iLISI_site,0.6350783885179802,0.5188595949324614,0.5442242799715435,0.6339745182751969,0.5138351324074568,0.5385199360970674,0.6347038990598836,0.5166549457233228,0.5412700400384916,0.6297868607598777,0.5373516910556079,0.5411365689848827,0.6341558015695812,0.5288822397214311,0.543418577837702
asw_site,0.9240228923562145,0.9129206569582816,0.9332856111634933,0.9271060829891798,0.9125826460448255,0.9328193888759118,0.9304190360784377,0.9133565043153778,0.9344114210452934,0.9261394587489171,0.9181767414311791,0.9338856688206815,0.9333767529190709,0.9130350093227177,0.9376482612039541
iLISI_d1,0.6690320625985957,0.5873495385018734,0.6000225771652228,0.6847854155096713,0.5870866396343146,0.6045468466956727,0.6710756313634552,0.5946867964904268,0.6033048606114604,0.6800528627272362,0.6126383611267445,0.6016893538595309,0.6611921820996012,0.6011446262564619,0.6111103915200138
cLISI_d1,0.9630580269251248,0.9966447807605849,0.9915394689547231,0.9615907201144834,0.9969998192913572,0.9923779918788755,0.9631830942700038,0.9965315805861461,0.9918164347346468,0.9623005687053972,0.9965383540074558,0.9915997329399746,0.9630009735880268,0.99665097145219,0.9916212953328483
asw_batch_d1,0.9020689639532632,0.9018623468548522,0.91657140257008,0.9084605625551493,0.9001631370313129,0.9182248228264767,0.9139500183866579,0.8993654244545191,0.9203274125046681,0.9046251208987665,0.9043476274897075,0.9160806523096406,0.9149107793310112,0.8995011976430918,0.9220089816859696
