,BAVAE_sample_25_atac_only_seed_8831,BAVAE_sample_25_seed_8831,BAVAE_sample_25_concat_seed_8831,BAVAE_sample_25_atac_only_seed_234,BAVAE_sample_25_seed_234,BAVAE_sample_25_concat_seed_234,BAVAE_sample_25_atac_only_seed_11,BAVAE_sample_25_seed_11,BAVAE_sample_25_concat_seed_11,BAVAE_sample_25_atac_only_seed_9631,BAVAE_sample_25_seed_9631,BAVAE_sample_25_concat_seed_9631,BAVAE_sample_25_atac_only_seed_94,BAVAE_sample_25_seed_94,BAVAE_sample_25_concat_seed_94,BAVAE_sample_100_rna_only_seed_0
dims,10.0,20.0,20.0,10.0,20.0,20.0,10.0,20.0,20.0,10.0,20.0,20.0,10.0,20.0,20.0,10.0
iLISI_batch,0.34833366704618646,0.2964210033245178,0.29478583479212844,0.3504545815838804,0.2984808522170237,0.2973963284741287,0.34973546251582094,0.29499062703823603,0.2956609778401082,0.3516759710149567,0.28417796882392027,0.2990510585429236,0.3493746716489529,0.2972997559637709,0.29983918009125676,0.2879398363011543
cLISI_full,0.9805919328760123,0.9940524855685156,0.9927130888720186,0.9813040582082858,0.9940987688250713,0.9923606021884424,0.9817018739918918,0.9944361689188235,0.9925911890154472,0.9818106749331819,0.9945450823173134,0.9926692316766599,0.9811805229036009,0.9945988032688685,0.9925569653659034,0.993195831205695
asw_batch,0.857345468724678,0.8703638567890156,0.8868732478051851,0.8612093776608841,0.8691005966788595,0.8874705119579759,0.8575443636917736,0.8688205725782379,0.8856940642450397,0.8586689145687906,0.8634337047178348,0.8859476351400126,0.8692300325450393,0.8625547195099282,0.8923950036271253,0.8567145859096645
asw_label,0.5537523664534092,0.586945153772831,0.577010989189148,0.5573714599013329,0.5941970571875572,0.5784932896494865,0.5606190003454685,0.5971591547131538,0.5811855494976044,0.5611784718930721,0.5986889079213142,0.5805134624242783,0.552360363304615,0.597497396171093,0.5778044760227203,0.5835708007216454
cc_cons,0.8611410492584104,0.8236668163916401,0.833363166507787,0.7449458201370428,0.8214251772305339,0.7876970709245106,0.8467548630173939,0.8379387925748849,0.8332239114719298,0.8877489102205474,0.8316942836861785,0.8519250292291105,0.8511288602695277,0.8287672975707105,0.8348667291726456,0.7849491728869331
graph_conn,0.9116163665508054,0.9643493918624976,0.9625169861228492,0.9092395377824062,0.9633647569490426,0.9623299194224273,0.9059398340269899,0.9623692037484379,0.9627328459697172,0.9113009856411028,0.9647354075778014,0.9618569680138559,0.9181429214303081,0.9633721475480894,0.9629226443218425,0.9597409290762665
nmi,0.7247573082699728,0.7697934361216194,0.7694663968538885,0.7069822731704929,0.776497586228135,0.7691016040487307,0.7051567377241276,0.783273916078853,0.777859648440811,0.7211389177396034,0.7716933067223438,0.7689983877660664,0.7286579800332059,0.7886340797350085,0.7742686041451575,0.7584350157797534
ti_cons_batch_gex,0.9454357941457434,0.9708555430238355,0.9646817929404063,0.9386036600846341,0.9698373907617095,0.9684126791101881,0.9352823711269349,0.969675015966535,0.9664839064828957,0.939855600444375,0.9677452420394965,0.9656730292947248,0.948168991986961,0.9730542786485241,0.9619064839525071,0.9676714189289451
ti_cons_batch_adt_atac,0.8675931799287928,0.8587115175281611,0.8623034500122979,0.8595250041047366,0.8594252988405257,0.8607399311050632,0.8618590417124425,0.8573225780119467,0.8645333894470897,0.8633404595764608,0.8556201102366886,0.8655230492332179,0.865269018704874,0.8582364620757605,0.8616399749346806,0.8589602829697636
ti_cons_batch_mean,0.9065144870372681,0.9147835302759983,0.9134926214763521,0.8990643320946854,0.9146313448011176,0.9145763051076257,0.8985707064196887,0.9134987969892409,0.9155086479649928,0.9015980300104178,0.9116826761380925,0.9155980392639713,0.9067190053459175,0.9156453703621423,0.9117732294435938,0.9133158509493544
iLISI_site,0.5927218618397192,0.5088464882826503,0.5019900923671069,0.5926381083492865,0.5157956003739391,0.5084499205368043,0.5979719751331901,0.5096913348265338,0.5077339020737416,0.5971612302024479,0.4892852310985741,0.5123307433298413,0.5952529280707762,0.508635501414675,0.5176627233730781,0.4881132505125437
asw_site,0.9143800996460772,0.9126472012891129,0.9235073128155598,0.9110489865004525,0.9114490673161795,0.921010568639538,0.9118896587043077,0.9133542720745164,0.9216072506772799,0.9115438957063347,0.9058602513286534,0.9211912896088224,0.9164155667086755,0.9092743772085589,0.923972959656667,0.9014962694432346
iLISI_d1,0.6227302221062496,0.5912844518390408,0.5737477977273224,0.6172271662716198,0.5850741397277899,0.5776558960836427,0.6308323860237675,0.5931170044715632,0.5758837640562848,0.6340543132368781,0.5464732486082724,0.5747212929263337,0.6216472570542473,0.5963676444695163,0.5691979154407865,0.5686349735709668
cLISI_d1,0.984555455793925,0.997067175797571,0.9957011497246526,0.985956966241786,0.9968903161916198,0.9947378090171783,0.9861398636843942,0.9975301561600413,0.9963376178595205,0.9854819069883345,0.9970146593069883,0.9958040562856875,0.9857751584729666,0.9971193894111433,0.9959290331345313,0.9955593215317586
asw_batch_d1,0.8889609712879352,0.9003707201020179,0.9063693927367668,0.8863973619096605,0.8941632799575899,0.9070880780182875,0.8922882577979798,0.900132174682326,0.906923661484969,0.8920511325087679,0.8922761200790731,0.9088128059257418,0.8964863044745599,0.8979625596970344,0.9099445157163831,0.8879460676331904
