,CDVAE_sample_100_seed_0,CDVAE_sample_100_seed_994,CDVAE_sample_100_seed_236,CDVAE_sample_100_seed_71,CDVAE_sample_100_seed_415
dims,20.0,20.0,20.0,20.0,20.0
iLISI_batch,0.2580859219940845,0.26028944305223983,0.2598280058373316,0.2609594529115637,0.2628714100416414
cLISI_full,0.9951539314614863,0.99507098609812,0.9951411074723598,0.9953637580018769,0.9950281906588844
asw_batch,0.8609897356167283,0.8572652130254301,0.8675483073712861,0.8615223235983064,0.8582174784177556
asw_label,0.604259580373764,0.5914758518338203,0.5997143387794495,0.5933787822723389,0.5939793884754181
cc_cons,0.8385133700984484,0.781293551603772,0.8772293841768308,0.8678531846572786,0.8455285846648759
graph_conn,0.9647600140092762,0.9628050127168549,0.9645976690617498,0.9627323166404206,0.9649327597506546
nmi,0.7741329037744971,0.7603192817936495,0.7602083437126886,0.7636583859595584,0.7540312069174131
ti_cons_batch_gex,0.9671577721263178,0.9642183272353735,0.9688917073767637,0.9689918806865682,0.9675796383344741
ti_cons_batch_adt_atac,0.8585195889973158,0.860016675103039,0.8553376518971274,0.8554942099374614,0.8607427799877703
ti_cons_batch_mean,0.9128386805618168,0.9121175011692062,0.9121146796369455,0.9122430453120147,0.9141612091611222
iLISI_site,0.44562732461156696,0.4407121521623398,0.4424718297957589,0.44588113406262836,0.4551875177503956
asw_site,0.9051845502584783,0.9087234828356269,0.9084548471705602,0.9079242156928304,0.9085038032011168
iLISI_d1,0.5162181434993538,0.5189676087896902,0.5283132546304732,0.5117317429450738,0.5327104678744146
cLISI_d1,0.9978217436519848,0.9976476885937611,0.9975144568161625,0.9982168504013235,0.9979184591875458
asw_batch_d1,0.8903546171825134,0.8909278103257448,0.89248239780724,0.8973297649369689,0.8917940369421405
