,CEVAE_sample_100_seed_0,batchVAE_sample_100_seed_0,CEVAE_sample_100_seed_994,batchVAE_sample_100_seed_994,CEVAE_sample_100_seed_236,batchVAE_sample_100_seed_236,CEVAE_sample_100_seed_71,batchVAE_sample_100_seed_71,CEVAE_sample_100_seed_415,batchVAE_sample_100_seed_415
dims,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
iLISI_batch,0.026727367532608865,0.04952113822804801,0.031774095149508186,0.04840493461722176,0.02780768639743288,0.05607645127311304,0.024555024364461553,0.05219062855414558,0.029740471908758948,0.0551845539009159
cLISI_full,0.996707908567833,0.9965599031575443,0.9968770360094474,0.996518945137368,0.9968673747467733,0.9963046668956276,0.9968498178880031,0.9966013487984078,0.9969766620242714,0.996287169948091
asw_batch,0.8415734485361928,0.8531983477269814,0.8444600426259524,0.8543334929666586,0.8452963946078115,0.8564944417527506,0.8406287554367885,0.8510622427211133,0.8481031557806852,0.8549055596210106
asw_label,0.5533918254077435,0.5537696592509747,0.5511213690042496,0.5513756535947323,0.5606501325964928,0.5580802001059055,0.5501807816326618,0.5565547049045563,0.5586191192269325,0.5559079870581627
cc_cons,0.7375601225482045,0.8354612835187343,0.8404262254587559,0.83520251733262,0.8134563344011597,0.8027806294043636,0.8661810185979307,0.8423104798109594,0.8838950659660367,0.820160748320997
graph_conn,0.9724575671900975,0.9632147895701213,0.9737720585600008,0.9714047075796095,0.9754093479800221,0.9716986790595938,0.9718720982940788,0.9708778058774782,0.9643596646651911,0.9805598424135419
nmi,0.6385925406361782,0.6563335199755485,0.6555101985967274,0.6642740095715102,0.6398530812891422,0.6601392049431744,0.6377428953968225,0.667584608844044,0.638188488615037,0.6770843289364099
ti_cons_batch_gex,0.9572018020834268,0.9662125940654667,0.9697680125162478,0.9591511560788688,0.9554504570313844,0.9603318063500699,0.6936285238749442,0.9593587698621253,0.9691646430603595,0.9691105400496154
ti_cons_batch_adt_atac,0.8472646439264402,0.8541681612284915,0.855656737075867,0.8449116366218541,0.844590704640291,0.8538816062272183,0.6149958596579377,0.8488494052500981,0.8548913975156252,0.85933659739552
ti_cons_batch_mean,0.9022332230049335,0.9101903776469791,0.9127123747960574,0.9020313963503614,0.9000205808358377,0.9071067062886441,0.654312191766441,0.9041040875561117,0.9120280202879923,0.9142235687225677
iLISI_site,0.002206960294554472,0.007414777150434704,0.003841196295733947,0.007787707157511055,0.0036321262539316113,0.00911394692279277,0.00321660597056872,0.0073654828051099575,0.0035560645460881446,0.010511214376045963
asw_site,0.8463801233319457,0.8458406285814087,0.85400878778025,0.8494906345786382,0.855372443152862,0.8524933906798405,0.841938931711544,0.8368734432093687,0.844397481250214,0.8543276631546795
iLISI_d1,0.01070104218266632,0.01588433375659215,0.024248680298412983,0.0193894030222177,0.015018516649731972,0.021203245081582223,0.012015005959134628,0.014773058499621738,0.011005906952815225,0.03340654230060669
cLISI_d1,0.9978315990422292,0.9975679590537837,0.9981636805660992,0.9975551594559224,0.9979107017804031,0.9974524724628407,0.9978211050100354,0.9976615025105966,0.9977558147616845,0.9974184209287067
asw_batch_d1,0.8173678564354553,0.8169212425608006,0.8341776815254883,0.8243108651776498,0.8296816323546464,0.8213783481237558,0.8125382049235782,0.8015381416136254,0.8085388893149765,0.8329633149642675
