,MultiVI_no_filt_seed_0,MultiVI_no_filt_seed_994,MultiVI_no_filt_seed_236,MultiVI_no_filt_seed_71,MultiVI_no_filt_seed_415
dims,18.0,18.0,18.0,18.0,18.0
iLISI_batch,0.30196862260181295,0.3014144998330572,0.30034544854489625,0.30208570857438155,0.2992041377210514
cLISI_full,0.9936439309108318,0.9934849192431744,0.9937927813765525,0.9933672225679069,0.9935010556586096
asw_batch,0.8463530723718673,0.849640172469596,0.8511702786866273,0.8506353426625096,0.8463828695260058
asw_label,0.580420657992363,0.5786517709493637,0.582996316254139,0.575330525636673,0.5831515938043594
cc_cons,0.747699185524371,0.7389753454888587,0.7602032018360435,0.778728967883825,0.7868679585794941
graph_conn,0.9620212721663869,0.9620092023298874,0.9638167662228255,0.9604922483782335,0.9613201850849211
nmi,0.7536857506738242,0.7666993453200114,0.7571912677587634,0.7626500749822779,0.7583660455407186
ti_cons_batch_gex,0.9653710542586623,0.961252745961922,0.9686693208595727,0.9581867242774857,0.9661571963105556
ti_cons_batch_adt_atac,0.8564664081266976,0.8516921453310338,0.8566911580221079,0.8460969933545821,0.8534291438632133
ti_cons_batch_mean,0.91091873119268,0.9064724456464779,0.9126802394408403,0.9021418588160339,0.9097931700868844
iLISI_site,0.5090790953186612,0.5113127094384394,0.5123109981568419,0.5085303208034543,0.50432972382856
asw_site,0.9058519498292145,0.906356197307671,0.9081321168137432,0.9086238754178952,0.9041574048677096
iLISI_d1,0.5719846155850887,0.5914730234352237,0.5897973380181694,0.5934107052423594,0.5822271131698904
cLISI_d1,0.9968498671278583,0.9961807631921078,0.9963032988211726,0.9963661650193554,0.9964838996138798
asw_batch_d1,0.8920873795358322,0.8920306865806389,0.894773524164638,0.8929864469154782,0.8853406741622898
