,MultiVI_10_seed_8831,MultiVI_25_seed_8831,MultiVI_10_seed_234,MultiVI_25_seed_234,MultiVI_10_seed_11,MultiVI_25_seed_11,MultiVI_10_seed_9631,MultiVI_25_seed_9631,MultiVI_10_seed_94,MultiVI_25_seed_94
dims,12.0,13.0,12.0,13.0,12.0,13.0,12.0,13.0,12.0,13.0
iLISI_batch,0.3268905264058169,0.3171879640034935,0.32409746017241486,0.31375664368630113,0.325427179183754,0.31467985395640463,0.3202325773650205,0.30571276250053114,0.32570341563479205,0.3127361299829561
cLISI_full,0.9854885420523661,0.992348463051467,0.9876470297500813,0.9925518258989277,0.9865475762866147,0.9924239822886973,0.9875670061229074,0.9922385251893621,0.9880143516647839,0.9923509480424185
asw_batch,0.8034794446362862,0.8298290626536292,0.8078900483726166,0.8178252275725278,0.8097039624293477,0.8260364582029862,0.8194318167621636,0.8177916558591846,0.8187356435826003,0.8241271658650571
asw_label,0.5732998549938202,0.587455116212368,0.5722326561808586,0.5892112031579018,0.5666171386837959,0.5914948806166649,0.575292594730854,0.5795792117714882,0.5692697539925575,0.5882540643215179
cc_cons,0.5033537445651729,0.7619734707648413,0.7191572277594622,0.7637166856978177,0.4840209844895145,0.7337077037016703,0.6588077262218844,0.7020867397227983,0.6075476206805538,0.7522771866948296
graph_conn,0.918719503351356,0.9508593209934163,0.9261834352795861,0.9503585115101368,0.9251123393704994,0.9502833171720525,0.9260096773335693,0.9458479735766429,0.9265493134274823,0.9470273470949767
nmi,0.6912423245758482,0.7492325144089852,0.694036590321802,0.7518091176702627,0.6671602946143446,0.7511116261812506,0.7080393730313685,0.7622885855697712,0.7070215426477015,0.7496794782653392
ti_cons_batch_gex,0.9698424241231502,0.9745379812882726,0.9617732995238999,0.9708040713508416,0.9631258926347311,0.9734364966827546,0.9715870413760621,0.9703237564127766,0.965964290757858,0.9717451989429051
ti_cons_batch_adt_atac,0.858193604065283,0.8615965055101419,0.8562526092228544,0.8593444545218292,0.853534179871163,0.8600619110800588,0.8569954801519889,0.8550356556290271,0.8577508298241099,0.8599013054395109
ti_cons_batch_mean,0.9140180140942167,0.9180672433992072,0.9090129543733771,0.9150742629363353,0.9083300362529471,0.9167492038814067,0.9142912607640254,0.9126797060209018,0.911857560290984,0.915823252191208
iLISI_site,0.5495050759430918,0.5332888468104383,0.5400665262468518,0.5260649517092625,0.5426741840021583,0.5221754434330101,0.5356827697927257,0.5111445530232954,0.5423554059076668,0.5230470915436193
asw_site,0.8724374844116706,0.8875818624972849,0.8750358346091938,0.8783397541778365,0.8758365983823326,0.8839895938538204,0.881857643844637,0.8827070366532885,0.8752031021492543,0.8818757555847033
iLISI_d1,0.5693593752439763,0.5982759900269148,0.5744684073072868,0.5809506797970425,0.5729829128036477,0.578180369523551,0.5646019169918464,0.5659552656282689,0.5695609869949609,0.5899806499915625
cLISI_d1,0.9878404074419755,0.9954415605706745,0.9908445021257621,0.9949899692956556,0.9888309193469796,0.9951042709210883,0.9910637478108988,0.9939218295373706,0.9913422442624625,0.9949546019699941
asw_batch_d1,0.8479552040400231,0.8667628081829533,0.8413133019977007,0.8554796752725794,0.8401294322753596,0.8591063376359163,0.8500560889359727,0.8552110230289746,0.8439595057505038,0.8579067266491778
