,VAE_100_seed_0,BAVAE_site_100_seed_0,BAVAE_sample_100_seed_0,CVAE_sample_100_seed_0,BAVAE_sample_100_concat_seed_0,MultiVI_seed_0,Winner_Multiome_online_seed_0,BAVAE_sample_100_rna_only_seed_0_20dims,BAVAE_sample_100_atac_only_seed_0_20dims,BAVAE_sample_100_seed_994,CVAE_sample_100_seed_994,BAVAE_sample_100_concat_seed_994,MultiVI_seed_994,Winner_Multiome_online_seed_994,BAVAE_sample_100_rna_only_seed_994_20dims,BAVAE_sample_100_atac_only_seed_994_20dims,BAVAE_sample_100_seed_236,CVAE_sample_100_seed_236,BAVAE_sample_100_concat_seed_236,MultiVI_seed_236,Winner_Multiome_online_seed_236,BAVAE_sample_100_rna_only_seed_236_20dims,BAVAE_sample_100_atac_only_seed_236_20dims,BAVAE_sample_100_seed_71,CVAE_sample_100_seed_71,BAVAE_sample_100_concat_seed_71,MultiVI_seed_71,Winner_Multiome_online_seed_71,BAVAE_sample_100_rna_only_seed_71_20dims,BAVAE_sample_100_atac_only_seed_71_20dims,BAVAE_sample_100_seed_415,CVAE_sample_100_seed_415,BAVAE_sample_100_concat_seed_415,MultiVI_seed_415,Winner_Multiome_online_seed_415,BAVAE_sample_100_rna_only_seed_415_20dims,BAVAE_sample_100_atac_only_seed_415_20dims
dims,20.0,20.0,20.0,20.0,20.0,16.0,64.0,20.0,20.0,20.0,20.0,20.0,16.0,64.0,20.0,20.0,20.0,20.0,20.0,16.0,64.0,20.0,20.0,20.0,20.0,20.0,16.0,64.0,20.0,20.0,20.0,20.0,20.0,16.0,64.0,20.0,20.0
iLISI_batch,0.06453770305947544,0.1816520453784326,0.2782580107159907,0.27895003852698297,0.2759072730915912,0.30471538786479185,0.17295059487625994,0.2879474307564749,0.30980943028443203,0.283846319804879,0.28841941655427855,0.2745612991860331,0.3065543901737597,0.17087996148839782,0.29802052785048444,0.3084203339896434,0.27566877990500055,0.28289395826163366,0.27224782072285,0.30353963971340886,0.16688058389654067,0.2979881893222791,0.31309481539750744,0.27488960230104315,0.28406172672200497,0.27610182392440125,0.3015697824872708,0.16958255393497,0.30567228374711547,0.30859483433932505,0.2858717212493929,0.2799057820314174,0.2782692623041357,0.2963948192414411,0.17270836225669137,0.29281744179607894,0.30928459278652976
cLISI_full,0.9962298832885698,0.9951283513671006,0.9948618297945457,0.9949303370877954,0.9946414516829742,0.9934270709002645,0.9860500083429008,0.993487004547317,0.9914297986487842,0.9948478778861068,0.9950441729000917,0.9945965428062028,0.9932633105521819,0.9846994575736587,0.9935895252141409,0.9920358721931283,0.9947686694291524,0.9955208023727363,0.9948626377605673,0.993580427147357,0.9842048542323464,0.9934623153250971,0.9918006055740539,0.9951571032905824,0.9951605690598797,0.9945682932426494,0.9938559819205812,0.9855685930065651,0.9936454060190901,0.9917438556031697,0.9948232441986956,0.9952259897394387,0.9949581685153248,0.9937941972083418,0.9829046794979277,0.9935814021117279,0.991721748048201
asw_batch,0.8547412873390694,0.8700433632023402,0.8624117455332211,0.8677605560597521,0.876146393073448,0.8433377283463986,0.9336367516369551,0.8662655859781729,0.8361547608512983,0.8559880414869929,0.8674586788326983,0.8765988348275525,0.8420493456454803,0.9355713063710788,0.8680016134599403,0.8384418774664216,0.858639624971033,0.8573389411944412,0.8700587837688366,0.8387021820729802,0.9338675457892527,0.8698174246100835,0.8354849265998905,0.85552565158643,0.8647190119013033,0.8739390883489121,0.8427040945950015,0.9341475128204672,0.8665029750059325,0.8363030475205382,0.850719074616169,0.8630291940521434,0.8762861371636771,0.8409997142401349,0.9331918746776872,0.862472071541929,0.8378572254678616
asw_label,0.5576217696070671,0.5807417407631874,0.5976513102650642,0.5972090065479279,0.588136650621891,0.5802264735102654,0.5271203275769949,0.5995908603072166,0.5953793898224831,0.5978202298283577,0.5911450386047363,0.5886183455586433,0.5826774537563324,0.5281330458819866,0.5940107330679893,0.5924653336405754,0.601005919277668,0.5899528339505196,0.5946994721889496,0.586384043097496,0.5279985908418894,0.5912103280425072,0.5872226804494858,0.6099273189902306,0.600163146853447,0.5870200917124748,0.5844472050666809,0.5298230703920126,0.5908637642860413,0.5902327820658684,0.59724061191082,0.5896947085857391,0.5868145227432251,0.593148984014988,0.5280575416982174,0.5936118215322495,0.5834255144000053
cc_cons,0.8853009867902326,0.8440904045430846,0.8217612609086269,0.8535882264547422,0.768054789583566,0.753205945871067,0.7970355634779109,0.9111110340308843,0.7691181480305177,0.7934283290218743,0.8767427003577081,0.7681308890960571,0.7999035029874683,0.9164947560130732,0.8893703292532845,0.6442663185844418,0.8221821538474914,0.7248812898961088,0.8437880315391031,0.7877210253936238,0.9145692736736335,0.8431605285737354,0.6241038151407472,0.8524225351681961,0.7732415145148079,0.8165510645440768,0.768695758961925,0.9200954488725656,0.876050676458417,0.6185484502059235,0.795836624856939,0.8410842194873489,0.876598872015922,0.7824543581055109,0.9158591358186249,0.8017546875852164,0.7095699316414268
graph_conn,0.9621942337425647,0.9687752808327318,0.9630217016347057,0.9635476876757347,0.9603150693723727,0.9625654988122737,0.9762011238547622,0.9667790582631075,0.9423650022045439,0.9664825816000139,0.9626460899521073,0.9630256844269233,0.9627514010804904,0.9760822761777624,0.9622027679315894,0.9388746799507494,0.964496485021272,0.9632433173660767,0.9619437539117186,0.961138627221153,0.974622220043782,0.9660094418745436,0.9437959048695597,0.9595639666017309,0.9664752979256087,0.9659973714206008,0.962921691471267,0.9748959202098468,0.9606554304808648,0.9416959133323811,0.9618251559378279,0.9629757603134657,0.9637009034583207,0.9620268090745943,0.9730230002816849,0.9649977464214351,0.9398336190743802
nmi,0.6658602774724125,0.7714074558533824,0.7768134499019358,0.7704469311779502,0.7709299703003257,0.7434523288275329,0.7491419775473935,0.7776518634812041,0.7466510063121153,0.7572149239596148,0.7561790816827928,0.7622962769079712,0.7455647461636465,0.7377868849691017,0.7681529048330223,0.7420035973148442,0.7659306478673876,0.7807855112967808,0.7662959094926233,0.75235049823463,0.7500571545492697,0.7762033293156924,0.7387448998018867,0.7746516222732933,0.768360281348106,0.7759114179960738,0.7434599567356108,0.7306157871117992,0.7881617245592208,0.7479515040793537,0.7680182801666564,0.766945116610304,0.7710696925782771,0.7572736403521588,0.7353080177082333,0.777382738623324,0.7525472620710997
ti_cons_batch_gex,0.9609628699390782,0.9634481195484512,0.9699730722478147,0.9668009910071842,0.9678688096446284,0.9637245798993519,0.9531705538608299,0.9774159783255731,0.9413122363223265,0.9651675615930652,0.9706051609674753,0.9662181718683512,0.9591702604228374,0.957381375503949,0.9776249008700437,0.9477471654135279,0.9649668220527361,0.9695729546056502,0.9676904194616974,0.956669904857903,0.960113305857812,0.972375493692027,0.9532070788928598,0.9692335707987229,0.965792052634618,0.9709672256785846,0.9640986808155384,0.9680231120678292,0.9764342526559266,0.9506480896479467,0.9677424970212514,0.969876171695986,0.9676804538649035,0.9670231775727349,0.958672031545497,0.9646217705129196,0.9484311330980641
ti_cons_batch_adt_atac,0.8450863677752772,0.8528382116642754,0.8580472032473245,0.8504230386308421,0.85981325112096,0.8545141169602329,0.828870850893686,0.858260598462208,0.8409763769633205,0.8528572485530517,0.8571127779739076,0.8522474211476222,0.8549004587733031,0.8324979151956237,0.858906158696725,0.8447462504490442,0.8515894690214647,0.8564803226415242,0.8573942232375229,0.8500975990293733,0.8326326464703658,0.8602534949845806,0.8519570821458661,0.8576330919918744,0.8573186037594717,0.8596399630491494,0.8504247471949535,0.8397322866605754,0.8582575617809085,0.848925422929662,0.8541836746753575,0.8560284638005613,0.8548798752504156,0.8571753273982428,0.841433661521152,0.8596756710709481,0.8453696266696589
