,BAVAE_sample_100_x1000_seed_0,AVAE_sample_100_x1000_seed_0,BAVAE_sample_100_x1000_seed_994,AVAE_sample_100_x1000_seed_994,BAVAE_sample_100_x1000_seed_236,AVAE_sample_100_x1000_seed_236,BAVAE_sample_100_x1000_seed_71,AVAE_sample_100_x1000_seed_71,BAVAE_sample_100_x1000_seed_415,AVAE_sample_100_x1000_seed_415
dims,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
iLISI_batch,0.19453760030163528,0.13321071140070875,0.20570099590836596,0.26446302231938934,0.19357996100446098,0.12265892265241311,0.18909257956710915,0.1320161582556166,0.16485333667322688,0.22846277158840433
cLISI_full,0.9917033492570224,0.9901356301641007,0.9922315865351232,0.9596632918984875,0.9910596885174094,0.991185902654832,0.9919049523257086,0.9905298735626941,0.9899182811963182,0.9775688870562285
asw_batch,0.8589957414259838,0.7421938837915611,0.8792418799958633,0.7481839810466296,0.870546516571223,0.7747822883283431,0.8672052018937201,0.7716981456006068,0.8284885518204942,0.7512062991183299
asw_label,0.5224249083548784,0.4349134862422943,0.551873255521059,0.34858688712120056,0.544404860585928,0.468575794249773,0.5394056141376495,0.4287673607468605,0.4783090837299824,0.4151802659034729
cc_cons,0.5523815475292214,0.26653937357924024,0.558005683324786,0.2752161298570469,0.5970774551262491,0.5023916391931106,0.4707240113915603,0.5046915134129268,0.5464284753386186,0.19641435500600685
graph_conn,0.9683667025066172,0.9589127306169103,0.969431080285728,0.8917599082779701,0.9668849580751284,0.9598420121655689,0.972295677634519,0.9504786171722656,0.9673942547570564,0.9066581130925301
nmi,0.7435589382421693,0.660346965898499,0.7700557645387922,0.4072766866462881,0.7362715160963824,0.6562956497879702,0.7618201192427715,0.6732778890306812,0.7037594523400443,0.5477749961387864
ti_cons_batch_gex,0.9431553581972514,0.4231899912335628,0.05015062934214509,0.5775501358573301,0.9644335794104213,0.7013937569932194,0.948958397030896,0.845360528160439,0.8452593343206103,0.7002415656489156
ti_cons_batch_adt_atac,0.8416850464213379,0.4058392318197739,0.14897719334825943,0.5541976774785122,0.8558597195029933,0.6911625732750188,0.8513174122504477,0.7973719379236842,0.7593722815511292,0.6864580846226804
ti_cons_batch_mean,0.8924202023092946,0.41451461152666835,0.09956391134520226,0.5658739066679211,0.9101466494567073,0.6962781651341191,0.9001379046406719,0.8213662330420617,0.8023158079358698,0.693349825135798
iLISI_site,0.3572715940474212,0.17647534936117007,0.3571019851722572,0.4502529661656422,0.3574748445076004,0.14841528764303388,0.355622126536288,0.17134971753271122,0.2860566157035931,0.3628685507026675
asw_site,0.8944588947277439,0.7318183480631482,0.9047362554239223,0.8187792151785364,0.8965171134285111,0.789101305024268,0.8990969190843119,0.785629245158112,0.8223718919284774,0.7925646543216484
iLISI_d1,0.47692890693967316,0.21194196979029356,0.4892733117551322,0.5483217708913228,0.44571724631158105,0.15526441334278562,0.44097159532549024,0.23526794967126996,0.4259246835505539,0.499895483551113
cLISI_d1,0.9954346410480277,0.9912205084629548,0.9952796812559306,0.9447747428015216,0.9957161804132714,0.9924667950342012,0.9960756334054889,0.9916340036009146,0.9927849661136436,0.9672357501876769
asw_batch_d1,0.8604433005126937,0.749825414311609,0.8769421544303453,0.8013069993041972,0.8670971376383239,0.7433276905253187,0.8828731229228584,0.7389431778276352,0.8337648183259624,0.738351192317705
