,scVI_ln_0_20dims,scVI_ln_994_20dims,scVI_ln_236_20dims,scVI_ln_71_20dims,scVI_ln_415_20dims
dims,20.0,20.0,20.0,20.0,20.0
iLISI_batch,0.25571353100347444,0.2525447187067309,0.25658316149777277,0.2468000487423457,0.2576656501969992
cLISI_full,0.9889005122220746,0.9898325372854073,0.9897710660624297,0.9900803347349726,0.989744090746288
asw_batch,0.9174560618798936,0.9185446960337104,0.9170659013604084,0.9146608884764277,0.9175495126078754
asw_label,0.5507705174386501,0.5505742579698563,0.5546539910137653,0.5533577390015125,0.5532081760466099
cc_cons,0.6271453167972848,0.6349719727560909,0.6704590022882999,0.6429093139971076,0.6564531956716403
graph_conn,0.9696442610717724,0.9720495450201551,0.9687957609382374,0.972152192144955,0.9711268880995335
nmi,0.7757879008813523,0.7678715214668568,0.7802195162693093,0.7752616610484191,0.7785258048946848
ti_cons_batch_gex,0.8823450300904082,0.9601367885290255,0.9615224645224485,0.9616593566803435,0.9612783133807437
ti_cons_batch_adt_atac,0.7950519222569817,0.8558508232511641,0.8513728862182685,0.8548340568832273,0.8568252135354264
ti_cons_batch_mean,0.838698476173695,0.9079938058900948,0.9064476753703585,0.9082467067817854,0.909051763458085
iLISI_site,0.4346226729955857,0.4277877351323755,0.4323738322774416,0.4165266012393589,0.43386589052437713
asw_site,0.9381652110131335,0.9390767680533643,0.9370711973964561,0.9335706784082369,0.9383492181667414
iLISI_d1,0.5342054431106968,0.5217630795631729,0.5330855668197012,0.4911675251233567,0.522443292761412
cLISI_d1,0.9900678203806941,0.9894138177347702,0.9921805940476884,0.9908249424869296,0.9927992565428703
asw_batch_d1,0.9241454054642112,0.9241166440054922,0.9231716419608326,0.922870561286787,0.9252562230874585
