,scVI_bn_0,scVI_ln_0,scVI_bn_994,scVI_ln_994,scVI_bn_236,scVI_ln_236,scVI_bn_71,scVI_ln_71,scVI_bn_415,scVI_ln_415
dims,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
iLISI_batch,0.2339446145978,0.2521820350123187,0.23385543271211506,0.2518057551561643,0.2430434341797342,0.2512118955123384,0.23269916397906262,0.24787517160373332,0.24059017532290228,0.24857465304075235
cLISI_full,0.9926236512579562,0.9918137827280068,0.9921451751095463,0.9910517491652806,0.9917351979487815,0.9915728557266329,0.9923210976493904,0.9918488103282858,0.9922179411104505,0.9918657948660948
asw_batch,0.8695074478201409,0.8717922888448449,0.8683576307897883,0.8722268406205498,0.8695499619510176,0.872618887303497,0.8660153311211278,0.8765972428483596,0.8736965747965661,0.8717550181945168
asw_label,0.5708114504814148,0.5749736353754997,0.5693378448486328,0.5764520987868309,0.5701517015695572,0.5741446167230606,0.5662822499871254,0.5767201632261276,0.5714887753129005,0.5765065252780914
cc_cons,0.8029885083990387,0.7911636626585585,0.8416990932618856,0.792720910940337,0.8079306079520191,0.7811775540312463,0.8232783530509574,0.8021483461556573,0.8297736391238568,0.773543572465062
graph_conn,0.9646987537607344,0.9670505185912258,0.9631529832140213,0.9650541976144381,0.9654574811653313,0.9674489223531059,0.9630023648648948,0.9646403606909232,0.9645400447481964,0.9669885073016524
nmi,0.777266937893653,0.7863449399040865,0.7686428812844847,0.7754433296716561,0.7723674757101324,0.7707748289271286,0.7683600287544242,0.7776166926077345,0.7750569257770006,0.7787235301971215
ti_cons_batch_gex,0.9618755130812154,0.9702879616436368,0.9662791554293482,0.9624722381193922,0.9684967575161891,0.9629139285012512,0.9556935266902796,0.9646594616832587,0.9681514975812608,0.965833441762113
ti_cons_batch_adt_atac,0.8505651653588264,0.8557230427728507,0.8542648880803514,0.8542997138436794,0.856002084720049,0.8556687508177929,0.8477735510658402,0.8561964760024869,0.8561835954358621,0.8584743451533388
ti_cons_batch_mean,0.906220339220021,0.9130055022082437,0.9102720217548498,0.9083859759815358,0.9122494211181191,0.9092913396595221,0.9017335388780598,0.9104279688428728,0.9121675465085615,0.9121538934577259
iLISI_site,0.3899902760103382,0.4241282530020792,0.38635519251190287,0.4257773149377441,0.406958927902771,0.42654424750759823,0.3873716082322341,0.4153377244910706,0.4004438514851986,0.4168772403296379
asw_site,0.8862493569419282,0.9050411092033372,0.8905473722756876,0.9052336318160202,0.888262277403171,0.9057816584218129,0.8861769280195452,0.9051306688362463,0.8941180329578822,0.901680692936799
iLISI_d1,0.46128336723448116,0.5277815017043017,0.4578228036540868,0.5064388958280346,0.46303255991288605,0.5001866795878833,0.45397339625891464,0.5062836336863623,0.47278617890854324,0.5050367369380024
cLISI_d1,0.993920991215008,0.9946111280316419,0.9939919213156794,0.9939894874818547,0.9933501733824917,0.9938132792401069,0.9943078365085356,0.9943134901878885,0.9940970622719698,0.9938733713072342
asw_batch_d1,0.8571318008722816,0.8961541854222533,0.8623153018539165,0.8909428577951152,0.8653950129859492,0.8937495901805832,0.8582387163138746,0.8952357144446499,0.873728207908486,0.8930529419172526
