,liam_mosaic_atac_a_seed_8831,liam_mosaic_atac_a_seed_234,liam_mosaic_atac_a_seed_11,liam_mosaic_atac_a_seed_9631,liam_mosaic_atac_a_seed_94,liam_mosaic_rest_a_seed_8831,liam_mosaic_rest_a_seed_234,liam_mosaic_rest_a_seed_11,liam_mosaic_rest_a_seed_9631,liam_mosaic_rest_a_seed_94,liam_mosaic_atac_b_seed_8831,liam_mosaic_atac_b_seed_234,liam_mosaic_atac_b_seed_11,liam_mosaic_atac_b_seed_9631,liam_mosaic_atac_b_seed_94,liam_mosaic_rest_b_seed_8831,liam_mosaic_rest_b_seed_234,liam_mosaic_rest_b_seed_11,liam_mosaic_rest_b_seed_9631,liam_mosaic_rest_b_seed_94,liam_paired_full_seed_8831,liam_paired_full_seed_234,liam_paired_full_seed_11,liam_paired_full_seed_9631,liam_paired_full_seed_94,MultiVI_mosaic_full_seed_8831,MultiVI_mosaic_full_seed_234,MultiVI_mosaic_full_seed_11,MultiVI_mosaic_full_seed_9631,MultiVI_mosaic_full_seed_94,MultiVI_mosaic_a_seed_8831,MultiVI_mosaic_a_seed_234,MultiVI_mosaic_a_seed_11,MultiVI_mosaic_a_seed_9631,MultiVI_mosaic_a_seed_94,MultiVI_mosaic_b_seed_8831,MultiVI_mosaic_b_seed_234,MultiVI_mosaic_b_seed_11,MultiVI_mosaic_b_seed_9631,MultiVI_mosaic_b_seed_94
dims,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,15.0,15.0,15.0,15.0,15.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0
iLISI_batch,0.504006959635435,0.5010261442507543,0.49524380685652664,0.5030474195246445,0.506244852999758,0.43283007249516803,0.43283007249516803,0.43283007249516803,0.43283007249516803,0.43283007249516803,0.4193503013776149,0.4193503013776149,0.4193503013776149,0.4193503013776149,0.4193503013776149,0.4644568550402542,0.4629467304687715,0.46152673626643576,0.45980354011324015,0.4670728652262362,0.3135156129253937,0.3108014121828316,0.31282632934011784,0.314544137981847,0.31258416514837967,0.2968216411084521,0.30545549215084256,0.2945600841804394,0.2957183047800898,0.3057730419573916,0.2652012534996953,0.27341273975333436,0.2616432898188045,0.2651705526856292,0.27814084916068754,0.23523741597884415,0.2864867678407636,0.27380411547449474,0.2871836830156787,0.2985303948176618
cLISI_full,0.9355645212609195,0.9419570494574345,0.9206219675135418,0.9402567010755744,0.9361577959701799,0.9969964859240271,0.9969964859240271,0.9969964859240271,0.9969964859240271,0.9969964859240271,0.9830056869916665,0.9830056869916665,0.9830056869916665,0.9830056869916665,0.9830056869916665,0.9915765891635342,0.9922770872520209,0.9925331374641564,0.9919281545767579,0.9928302820337528,0.9946309132226426,0.9950748234004404,0.9941799889823051,0.9946713652372571,0.9946852177514206,0.9906245377445663,0.9898258573190666,0.9902200969127448,0.9892995353117358,0.9898162711162558,0.9794544321382928,0.9812923531784504,0.9798153064606842,0.9793585825460729,0.9806840901792564,0.9867766050039111,0.9865404236539762,0.986120759137912,0.9872948897483117,0.9854941718871488
asw_batch,0.9066669367181373,0.908140416357821,0.8993145561495184,0.9104591529393512,0.8984436957915795,0.8980722676832773,0.8980722676832773,0.8980722676832773,0.8980722676832773,0.8980722676832773,0.8479732133624371,0.8479732133624371,0.8479732133624371,0.8479732133624371,0.8479732133624371,0.9046049584594076,0.904086150252863,0.9061598196756411,0.9029342657865254,0.9035828387544166,0.8659157103161429,0.8547581686873038,0.870551932013602,0.8644880006424198,0.8584791198586476,0.8695187182635062,0.8715962351657022,0.8727145880331488,0.874727619171257,0.8766127695803423,0.8788553362781412,0.8893159122554906,0.8818653840517676,0.8771553209254809,0.8773183267122513,0.8604478466138203,0.8682361365054999,0.8697124338430033,0.8593592264063313,0.8674522981805396
asw_label,0.4911993872374296,0.4942720071412623,0.48773006722331047,0.4906269796192646,0.4839137140661478,0.604700468480587,0.604700468480587,0.604700468480587,0.604700468480587,0.604700468480587,0.5748466551303864,0.5748466551303864,0.5748466551303864,0.5748466551303864,0.5748466551303864,0.5722784996032715,0.5712947994470596,0.5861613973975182,0.5794319435954094,0.5843425765633583,0.5954380258917809,0.6089973077178001,0.590481348335743,0.5928992331027985,0.5956506580114365,0.5649912878870964,0.5600944273173809,0.5618057586252689,0.5598234012722969,0.562564343214035,0.5162903536111116,0.5240063052624464,0.5166432503610849,0.5112944487482309,0.5220843106508255,0.5473352856934071,0.5496858470141888,0.5477891936898232,0.5552835091948509,0.5411422401666641
cc_cons,0.8895218555320602,0.88691051231656,0.930763601960135,0.9429695421086892,0.9190641649659808,0.8560653447094687,0.8560653447094687,0.8560653447094687,0.8560653447094687,0.8560653447094687,0.5564446494040297,0.5564446494040297,0.5564446494040297,0.5564446494040297,0.5564446494040297,0.8773705165744196,0.8853566971572358,0.8659067766681887,0.8541750672848604,0.8683918432437253,0.8342090276947592,0.719444330631079,0.8266064162950791,0.7760422005648289,0.7508486184314328,0.6715597019569152,0.6627725900555276,0.6761205337942525,0.6675686878109228,0.6652567888534383,0.7362050465544141,0.712543122334616,0.7511145428064648,0.7150232783865587,0.7851314267592718,0.6082758455957086,0.6518641879350587,0.6527779159569279,0.6546404569489874,0.6624398927612459
graph_conn,0.7916152628587668,0.8119149194986537,0.7674804798471269,0.7887432112638759,0.7855930426510412,0.9639624190665061,0.9639624190665061,0.9639624190665061,0.9639624190665061,0.9639624190665061,0.9452105099975759,0.9452105099975759,0.9452105099975759,0.9452105099975759,0.9452105099975759,0.9645263000015935,0.9620317162713321,0.9693665728188153,0.9616707965529391,0.9653960668579602,0.9615041019553316,0.9612118979985602,0.9653845332829092,0.9636631367145891,0.9620559289338927,0.9531128903327432,0.9477397101724482,0.9517778840382206,0.9534372943798164,0.9536706775048471,0.900122407167601,0.9129958744280283,0.9087468420077898,0.9096078265683194,0.8984310791127563,0.9353306262726006,0.9336410912928094,0.9491695261815282,0.9428294386437197,0.9324493304760757
nmi,0.5485485251013715,0.5771933127579535,0.5511271325635655,0.5621897718197539,0.5450327032405982,0.800071834072271,0.800071834072271,0.800071834072271,0.800071834072271,0.800071834072271,0.7302404779990527,0.7302404779990527,0.7302404779990527,0.7302404779990527,0.7302404779990527,0.771235062623102,0.7769314314301587,0.7805323663000037,0.7722681427003086,0.7782376535936782,0.766455662762315,0.7692514211283339,0.7563532761808422,0.7634228348286483,0.7674670647259,0.746059241997581,0.7383916295583682,0.7395710535388903,0.7339431675710867,0.7434834640246485,0.6765255796699334,0.6890776927501576,0.665067103711841,0.6735230455937511,0.6858241088205571,0.7086998865305281,0.7299866570502016,0.7116816868707108,0.7200754958014719,0.7154312708522981
ti_cons_batch_gex,0.860081913104721,0.863273049176651,0.8489704953021795,0.8517169722154749,0.8732013035281805,0.974364222619353,0.974364222619353,0.974364222619353,0.974364222619353,0.974364222619353,0.9512205275175181,0.9512205275175181,0.9512205275175181,0.9512205275175181,0.9512205275175181,0.976172179218264,0.9749584448241853,0.97841633242989,0.9739331293564286,0.9741140921631353,0.9683593507450778,0.9693830300929696,0.968928905643228,0.9682012387750282,0.9659363019709284,0.9633798298879689,0.8793413129475476,0.9538320154111892,0.9522637718257604,0.956725593420986,0.9404189960771205,0.9239859580654335,0.9415694834237632,0.9322149135480092,0.9161685642648418,0.9497707695914932,0.9351914296859897,0.9555308597311001,0.9591427063887573,0.9534830250519892
ti_cons_batch_adt_atac,0.7812045885323067,0.7772314450173423,0.7723514423667669,0.7734383384230982,0.797315576612679,0.8974740740792091,0.8974740740792091,0.8974740740792091,0.8974740740792091,0.8974740740792091,0.8116283536667492,0.8116283536667492,0.8116283536667492,0.8116283536667492,0.8116283536667492,0.9002997819349419,0.9001137167155313,0.9006131522179772,0.8980634133406709,0.8980537297161897,0.8558727406978912,0.8575111457965849,0.856855517870482,0.8630009279417372,0.8511730663208085,0.8523171774468405,0.7863614240944505,0.8460162103168797,0.845501805047998,0.8473957508558129,0.8451872729012605,0.8251176191204033,0.8390968174515145,0.8351650469132555,0.8226603951943208,0.8476755057822005,0.8311029907586708,0.8490619856655157,0.851681631379837,0.8532258239881705
