,liam_mosaic_full_x1.0_seed_8831,liam_mosaic_full_x1.0_seed_234,liam_mosaic_full_x1.0_seed_11,liam_mosaic_full_x1.0_seed_9631,liam_mosaic_full_x1.0_seed_94,liam_mosaic_a_x1.0_seed_8831,liam_mosaic_a_x1.0_seed_234,liam_mosaic_a_x1.0_seed_11,liam_mosaic_a_x1.0_seed_9631,liam_mosaic_a_x1.0_seed_94,liam_mosaic_b_x1.0_seed_8831,liam_mosaic_b_x1.0_seed_234,liam_mosaic_b_x1.0_seed_11,liam_mosaic_b_x1.0_seed_9631,liam_mosaic_b_x1.0_seed_94,liam_mosaic_full_x10.0_seed_8831,liam_mosaic_full_x10.0_seed_234,liam_mosaic_full_x10.0_seed_11,liam_mosaic_full_x10.0_seed_9631,liam_mosaic_full_x10.0_seed_94,liam_mosaic_a_x10.0_seed_8831,liam_mosaic_a_x10.0_seed_234,liam_mosaic_a_x10.0_seed_11,liam_mosaic_a_x10.0_seed_9631,liam_mosaic_a_x10.0_seed_94,liam_mosaic_b_x10.0_seed_8831,liam_mosaic_b_x10.0_seed_234,liam_mosaic_b_x10.0_seed_11,liam_mosaic_b_x10.0_seed_9631,liam_mosaic_b_x10.0_seed_94,liam_mosaic_full_x25.0_seed_8831,liam_mosaic_full_x25.0_seed_234,liam_mosaic_full_x25.0_seed_11,liam_mosaic_full_x25.0_seed_9631,liam_mosaic_full_x25.0_seed_94,liam_mosaic_a_x25.0_seed_8831,liam_mosaic_a_x25.0_seed_234,liam_mosaic_a_x25.0_seed_11,liam_mosaic_a_x25.0_seed_9631,liam_mosaic_a_x25.0_seed_94,liam_mosaic_b_x25.0_seed_8831,liam_mosaic_b_x25.0_seed_234,liam_mosaic_b_x25.0_seed_11,liam_mosaic_b_x25.0_seed_9631,liam_mosaic_b_x25.0_seed_94
dims,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
iLISI_batch,0.271179816850972,0.2787269847283446,0.2638703767908639,0.27866959483268156,0.27555882391350456,0.2858043532815517,0.2891870018463139,0.28952128588229775,0.28325633471317246,0.2826324100302131,0.26941321495140946,0.24189545564297069,0.2678338597796368,0.25141149214317754,0.25330213103587185,0.2970650752595098,0.2989627304515827,0.2874743301099285,0.2910231784891066,0.29618196131358404,0.3088591388397564,0.3030454241113129,0.3023832458435247,0.30403548538673725,0.30700172661114417,0.28525154398113634,0.2862379312699011,0.2959976433504943,0.2865612880607588,0.28794953993470435,0.28651359743608307,0.29162082383838334,0.29226122714263814,0.285025260390492,0.28170202491872703,0.2990098518402809,0.29480600055185535,0.2730136629064774,0.2846373931056651,0.29231031600878876,0.2789618544771939,0.2714245506061406,0.28517055858750023,0.2895083953163176,0.2725487046818953
cLISI_full,0.9936403763374608,0.9930963550752138,0.9934377670438039,0.9935240687822946,0.9937916378698679,0.9883625313294272,0.9893998151669217,0.9887450056584909,0.9889254572086876,0.9887450728007682,0.9921849230690312,0.9920977845712583,0.992078413543349,0.9918754802070934,0.9919592137651604,0.9921901502885025,0.992382851735204,0.9926380267596803,0.9919013009412787,0.9921184624540534,0.9860572205739596,0.9863627496288617,0.986020429540046,0.9864312383487085,0.9868370676263437,0.9885362546320986,0.9888362755357721,0.9893584741518208,0.9879499702277754,0.9888425068034673,0.9905868609707342,0.9905668912743872,0.9896127902215025,0.9909320669370655,0.9913571265966165,0.9811490504504461,0.9818597204138545,0.9811432937476263,0.9804084489313274,0.9808071827912495,0.9861888526306921,0.9852973262804214,0.9846019585108098,0.9858707034121659,0.9860659614744985
asw_batch,0.8499313194376149,0.8415061181437512,0.8523700729106948,0.8463920386051679,0.8489783160123131,0.8635358820724641,0.8659899404332609,0.8666001760654983,0.8591160486804618,0.8626224693830461,0.8626180484557519,0.859460336607389,0.855259730020209,0.8582506423414383,0.8555383895168786,0.856138463849832,0.8529248089089806,0.8577286399938834,0.8486161623619068,0.8538783628921425,0.8613537679412613,0.859741109803691,0.8626450535454743,0.8633876349730144,0.8570999757285737,0.8660973968498371,0.867399642012542,0.8637903020737373,0.8670344758416545,0.8698017959972236,0.8622730516757183,0.8498057960052837,0.8544807814838783,0.8635015628616416,0.8586578506196514,0.8469372701780989,0.8564762982071641,0.8566200840978819,0.8438634205014052,0.8512122835662748,0.8679350719898984,0.8690333920112588,0.8738030594723066,0.8685003910314841,0.8706183943452747
asw_label,0.588379293680191,0.5966810435056686,0.5928030535578728,0.5973799601197243,0.6006861701607704,0.57522002607584,0.57623490691185,0.5794973522424698,0.5757367983460426,0.5774998292326927,0.5840346738696098,0.563317559659481,0.5826717019081116,0.5782653465867043,0.5843740180134773,0.584001936018467,0.5941669344902039,0.5982187613844872,0.5950512290000916,0.5917248949408531,0.5776754319667816,0.5742228180170059,0.5719015374779701,0.5738260746002197,0.5682717114686966,0.5687565952539444,0.573423370718956,0.5728509053587914,0.5662202388048172,0.5703451931476593,0.5806902125477791,0.5837482213973999,0.5780521705746651,0.5866728574037552,0.5885827541351318,0.555619690567255,0.5577001869678497,0.5602440051734447,0.5580552816390991,0.5616238377988338,0.5648193955421448,0.5602624863386154,0.5579560771584511,0.5590239614248276,0.5605492182075977
cc_cons,0.6906972577557509,0.7524580006942398,0.7622650608057577,0.8208831910625024,0.7003277270295636,0.7476782635557794,0.7304791075589276,0.7618627767331175,0.7094639020559865,0.7210602277288133,0.7720360449774512,0.7966277513419612,0.6895145163559666,0.7460985967783541,0.7186455619344583,0.6446639973665269,0.7571877697624385,0.7959266299311769,0.7838385697043211,0.7395425988120029,0.7390892312087725,0.7156907622778157,0.7508245440686601,0.7333036616649214,0.7015330147783131,0.7413992638073883,0.6867229922797573,0.7673191548571275,0.7376203399676796,0.7909083137527275,0.6997263571761021,0.7382067066994189,0.7432276441255825,0.7778250427532046,0.7718665020234181,0.7034505013263055,0.7307988038303737,0.6375681272907597,0.6270674930577813,0.7302397378774206,0.7335779073977441,0.7952976209711509,0.7399649312490915,0.7760127459922863,0.760826560944497
graph_conn,0.9467348830068911,0.9505075841954723,0.9512161544435437,0.9458137567082449,0.9465150834247738,0.9156208246739129,0.9249680980541739,0.9284538457865434,0.9193293956637093,0.9136593606906742,0.9483427000936326,0.951935414892228,0.9412988043680663,0.9491950608478703,0.9471912274361326,0.9408151530734042,0.9436766071639027,0.9425828262920235,0.9399007930407216,0.9486349360659219,0.9062735643180169,0.9082592538319161,0.8963142767162957,0.9049871748014682,0.9058772979026575,0.9387529855460334,0.9359329133980373,0.9389903346854969,0.9510978295043558,0.9506356111577581,0.9500665313983198,0.9498698454621693,0.9502371372030608,0.9497275615261018,0.9546947820497789,0.8778183766689065,0.8944876036010626,0.8906100282239781,0.8942196991273044,0.8980900013474902,0.9390357272982611,0.9179164059173108,0.9388873235773546,0.9373066235135211,0.947388151220117
nmi,0.7632545415706395,0.7600141427201986,0.75465190519416,0.7679443185347983,0.7444134530450252,0.7193326304583539,0.7347115036374148,0.7333731120476581,0.7247773546905543,0.7284987596726583,0.7712760324022437,0.7230399711431249,0.7487102033458484,0.7383373911486375,0.7344671403331934,0.7579482992577589,0.7338501275799738,0.7549029373599768,0.7482827603529019,0.7641085168242142,0.7095180838655856,0.7114141760993958,0.7137718480189797,0.7142467008646326,0.7010488104392459,0.7373827876101816,0.740875053196157,0.7432318349589748,0.7349663483208454,0.7335105190051292,0.7469289686997117,0.736971735562076,0.7377348506889487,0.7476006715080658,0.745782961881962,0.6653575727730758,0.6761154045783158,0.6735895936515026,0.6498567013441123,0.6575521482340229,0.7339150707705442,0.7301746685346481,0.7234342346270427,0.718187094645972,0.7213600845574032
ti_cons_batch_gex,0.962010745287299,0.9560294038760049,0.9659605196862796,0.962966169757896,0.9618151676100579,0.08069493153356799,0.9567009227363423,0.9545663301928224,0.9486481707354073,0.9468498749800448,0.9653058526726108,0.9658681912157403,0.9661168342263242,0.967531057986035,0.9573731200377468,0.962617940318099,0.963732360323216,0.971206767094588,0.9660129524436533,0.9652122731466558,0.9565302291599468,0.9540859934515579,0.9555321872176745,0.94887534782695,0.9547892738422582,0.8810484485367862,0.8953951652117766,0.9674391842932231,0.886751152793771,0.8976933739557422,0.9612430179090372,0.9602784984024517,0.9622698260564542,0.9682932250778988,0.9645714214934927,0.9417937250883365,0.9475726667853444,0.9450444992378305,0.3821714513833927,0.947293383208669,0.8928405662909111,0.8967113088296153,0.8896737290261143,0.8961272982352481,0.8756341357934363
ti_cons_batch_adt_atac,0.8486569952655766,0.8477561008483845,0.852967273311068,0.8569320102642457,0.8509670452801623,0.1620764495431274,0.8560084882817771,0.8569986570334167,0.8593851021334082,0.8494109558022274,0.8619447326456838,0.8583132884914102,0.8540733624110671,0.8574500554411516,0.8468829729322461,0.8487505037396179,0.8540518698281123,0.8571228540289444,0.8602868449454355,0.852775627319068,0.8562452345851335,0.8548002031803525,0.8536765478532471,0.8531898204655198,0.8549644621925083,0.8212013859930309,0.8225910023286277,0.8562044636741486,0.820782733713862,0.80500629980332,0.8541582854522956,0.8450564520841635,0.8504755612514768,0.857233903362459,0.8517001500080923,0.8479882233278779,0.8518432538105875,0.8488117272752109,0.38610814582920094,0.8472800106191642,0.8285542971678593,0.8115955759207861,0.8183555681256915,0.8212828364921962,0.8126612260673618
