,liam_mosaic_full_seed_8831,liam_mosaic_full_seed_234,liam_mosaic_full_seed_11,liam_mosaic_full_seed_9631,liam_mosaic_full_seed_94,liam_mosaic_a_seed_8831,liam_mosaic_a_seed_234,liam_mosaic_a_seed_11,liam_mosaic_a_seed_9631,liam_mosaic_a_seed_94,liam_mosaic_b_seed_8831,liam_mosaic_b_seed_234,liam_mosaic_b_seed_11,liam_mosaic_b_seed_9631,liam_mosaic_b_seed_94
dims,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
iLISI_batch,0.29846429216611625,0.3008412222417145,0.30283809732044903,0.3017528982242053,0.2993086485297829,0.3030421904018426,0.301411956062886,0.3046410002570827,0.30618229774664346,0.3022760750469237,0.29032807105670505,0.29797271205235826,0.30434245439301133,0.2968026057356421,0.29205161839390775
cLISI_full,0.9929141339592148,0.9930779728262759,0.9928786357286182,0.992682679087194,0.9924693806173925,0.9878554886291502,0.9876533612451416,0.9877013787313335,0.9876076979823565,0.9880482637002621,0.9903335136725976,0.9908752514658493,0.990668348693107,0.9905445608549622,0.9908487481455588
asw_batch,0.8518113091831659,0.857586487441973,0.848320354449749,0.8437069132943299,0.8518560502842625,0.8532063942900489,0.8575273417227472,0.8578008457875711,0.8633438404004848,0.8635261042923595,0.8587975247723502,0.8572175470796085,0.8645463851263228,0.8545031373291475,0.8556216322721494
asw_label,0.5941020175814629,0.5922895073890686,0.5930748358368874,0.6011250838637352,0.5901442691683769,0.5777360200881958,0.5836192816495895,0.5785206779837608,0.5776661559939384,0.5762368589639664,0.579613484442234,0.5936198756098747,0.5792687386274338,0.577606275677681,0.586422510445118
cc_cons,0.7312204253104805,0.7521314625663782,0.7599782501759627,0.7941028440839777,0.7389418657770738,0.6949112091647188,0.6699559202617156,0.7071574733474084,0.7739255911736269,0.7644288239565274,0.8162073242456926,0.7590620629142653,0.7440926457809411,0.7476472334206657,0.7502558927146304
graph_conn,0.9532001140500654,0.9535317869644607,0.9466987209750554,0.9470955152696604,0.9492552914243533,0.902347246321865,0.9144462291205714,0.9050307787036146,0.903188710878516,0.903491080948016,0.9390874557211345,0.9396722140143986,0.9477989032492239,0.9368039597034934,0.9452952151771853
nmi,0.755439175088648,0.7510666455090966,0.7509706379498727,0.7593073671047492,0.7519541358148266,0.7213959899498918,0.7197083788008406,0.7164554658714307,0.7124559616666972,0.7238767367301917,0.7405081777134727,0.7575810347077288,0.7486107897220851,0.7489311415918898,0.7554785550125791
ti_cons_batch_gex,0.965785695930176,0.9586336384528102,0.9662818569785521,0.9662615809634549,0.964829776390175,0.9550399696522608,0.9449290504742399,0.9325625619820541,0.9519644089865049,0.9508626248399256,0.9576336500827676,0.9676293871796569,0.9654707537424326,0.9688158424761983,0.9680102758339977
ti_cons_batch_adt_atac,0.853425656299248,0.8579303287076555,0.8549678500552077,0.8570435660715954,0.85288293537892,0.8560836772756772,0.849311751406099,0.8478485017113933,0.8538536495685518,0.8534820102946705,0.8611572344950198,0.856394006500873,0.8560955054394565,0.858977275398618,0.8579506574701468
ti_cons_batch_mean,0.909605676114712,0.9082819835802329,0.9106248535168799,0.9116525735175252,0.9088563558845475,0.9055618234639691,0.8971204009401694,0.8902055318467237,0.9029090292775284,0.902172317567298,0.9093954422888937,0.912011696840265,0.9107831295909445,0.9138965589374082,0.9129804666520722
iLISI_site,0.4920404611830153,0.49985646653277166,0.4934482822609447,0.5036581930879517,0.4859514596943453,0.4820452466724574,0.4694791191851249,0.4834110381557064,0.4889700355736612,0.48139801528511467,0.4607365443879902,0.4780061455809929,0.49372840949922187,0.4816020804157361,0.46502816811860787
asw_site,0.9082522285969246,0.9124581111574657,0.9031430332942654,0.9077279457839619,0.9098625413374958,0.9007612602346936,0.9021274377749068,0.9010381687750859,0.899364525765963,0.9023432784608794,0.9064099558351751,0.9055060999327134,0.9090609555611283,0.9019942289990491,0.9049203752186259
iLISI_modality,0.49771172626655025,0.49837838938918744,0.4981264568972481,0.5039924434030785,0.4944736397409346,0.4890002607034707,0.4697762688232987,0.49418551792494714,0.5020457383849837,0.49107948392562495,0.4596136549487978,0.48662459165571903,0.49277137018669726,0.482273780120429,0.47029167175302033
asw_batch_modality,0.9117587954073079,0.917074209003078,0.908445918564537,0.9081921881548118,0.91105840796067,0.8982870594571126,0.8993259063888066,0.8973658718542689,0.8961182115439182,0.9003350110080687,0.9009592070586575,0.9006140520211949,0.9010742459481811,0.8951399273485169,0.9017217695159732
iLISI_d1,0.5500403473216635,0.5615786000684715,0.5693452981337308,0.5698110260911378,0.5660791484214318,0.5367895335024992,0.538464758272966,0.5531800900072865,0.5488838119523001,0.5458781922841967,0.5472265423576985,0.561616534133822,0.555997088881619,0.5591592284582636,0.5447625146057185
cLISI_d1,0.9969261189766246,0.9962417485623509,0.9965154009665133,0.9967223500574176,0.9958636741511777,0.9925851769440073,0.9928295142692642,0.9927428018790343,0.9933404475115368,0.9933954371867347,0.9954518706515071,0.9961796318633622,0.9951192331187556,0.9955462602149803,0.9956819155051149
asw_batch_d1,0.8817349589393804,0.8891258285583084,0.8837812298511979,0.8832007946066222,0.8908809755260755,0.8788054820254197,0.8855005411853432,0.8805400430258468,0.8780437673096205,0.8836230780917325,0.886757158519418,0.8829488967671091,0.8855968220454346,0.8750286791825864,0.882455497371547
