,iLISI_sample,iLISI_replicate,iLISI_condition,Model
BAVAE_buffer_100,0.3175056141371133,0.8127225463833359,0.03987907837442939,Liam_replicate_x1
BAVAE_buffer_100_x5,0.3269719453966004,0.8404532567201186,0.048688835914870277,Liam_replicate_x5
BAVAE_buffer_100_x10,0.329217160995463,0.8607036559224566,0.052211005086270745,Liam_replicate_x10
BAVAE_buffer_100_x25,0.3279367896039304,0.869905621373273,0.03615017083080252,Liam_replicate_x25
BAVAE_buffer_100_x50,0.3277149042476233,0.8690680862492137,0.033812186758791274,Liam_replicate_x50
BAVAE_buffer_100_x100,0.3298769410467266,0.8670042144890413,0.047324405057429964,Liam_replicate_x100
BAVAE_buffer_100_x1000,0.3275701735315586,0.8436075338814781,0.050758099540906265,Liam_replicate_x1000
BAVAE_sample_100,0.6066273222228754,0.8167416388337247,0.7449250189440317,Liam_sample_x1
BAVAE_sample_100_x5,0.6501896525934692,0.849230321753635,0.7892172397616695,Liam_sample_x5
BAVAE_sample_100_x10,0.6782124847024075,0.8616146566863274,0.8168323433183313,Liam_sample_x10
BAVAE_sample_100_x25,0.7078666121298064,0.8768210385506059,0.8502631222237638,Liam_sample_x25
BAVAE_sample_100_x50,0.7159357400948494,0.8726834894186717,0.8684692263209841,Liam_sample_x50
BAVAE_sample_100_x100,0.7133849613963616,0.8736745087107496,0.8681771530460716,Liam_sample_x100
BAVAE_sample_100_x1000,0.7040497619586191,0.8713486226762028,0.855482657825855,Liam_sample_x1000
